1.71.0.0/20,"Blocked AS142404"
240e:940:200::/39,"Blocked AS58539"
240e:940:600::/40,"Blocked AS140903"
240e:940:a00::/40,"Blocked AS141771"
240e:940:8200::/39,"Blocked AS58539"
240e:940:8600::/40,"Blocked AS140903"
240e:940:8a00::/40,"Blocked AS141771"
240e:940:c200::/39,"Blocked AS58539"
240e:940:c600::/40,"Blocked AS140903"
240e:940:ca00::/40,"Blocked AS141771"
240e:940:e200::/39,"Blocked AS58539"
240e:940:e600::/40,"Blocked AS140903"
240e:940:ea00::/40,"Blocked AS141771"
240e:951:2400::/38,"Blocked AS138991"
240e:951:2c00::/38,"Blocked AS138169"
240e:958:1000::/40,"Blocked AS142608"
240e:958:1200::/40,"Blocked AS142608"
240e:958:2000::/40,"Blocked AS140527"
240e:958:2300::/48,"Blocked AS132833"
240e:95a:3000::/36,"Blocked AS140083"
240e:95a:4000::/36,"Blocked AS149178"
240e:95d:1400::/38,"Blocked AS150145"
240e:960:c00::/40,"Blocked AS148969"
240e:960:d00::/40,"Blocked AS149837"
240e:960:e00::/40,"Blocked AS149837"
240e:96a:3001::/48,"Blocked AS149979"
240e:96a:3002::/47,"Blocked AS149979"
240e:96a:3004::/48,"Blocked AS149979"
240e:978:2900::/40,"Blocked AS146966"
240e:978:3900::/40,"Blocked AS146966"
240e:978:4900::/45,"Blocked AS146966"
240e:978:4909::/48,"Blocked AS146966"
240e:978:490a::/47,"Blocked AS146966"
240e:978:490c::/46,"Blocked AS146966"
240e:978:4910::/44,"Blocked AS146966"
240e:978:4920::/43,"Blocked AS146966"
240e:978:4940::/42,"Blocked AS146966"
240e:978:4980::/43,"Blocked AS146966"
240e:978:49a0::/44,"Blocked AS146966"
240e:978:49b0::/47,"Blocked AS146966"
240e:978:49b3::/48,"Blocked AS146966"
240e:978:49b4::/46,"Blocked AS146966"
240e:978:49b8::/45,"Blocked AS146966"
240e:978:49c0::/42,"Blocked AS146966"
240e:982:3200::/48,"Blocked AS138991"
240e:982:3201::/48,"Blocked AS138169"
240e:982:320f::/48,"Blocked AS138169"
240e:982:3300::/40,"Blocked AS138991"
240e:982:3400::/39,"Blocked AS138169"
240e:982:5000::/40,"Blocked AS140527"
240e:982:5300::/40,"Blocked AS149178"
240e:982:5400::/40,"Blocked AS149178"
240e:982:7400::/48,"Blocked AS148969"
240e:982:7500::/40,"Blocked AS149837"
240e:982:9900::/46,"Blocked AS149979"
240e:982:e401::/48,"Blocked AS135089"
240e:982:e402::/48,"Blocked AS135089"
240e:982:e600::/48,"Blocked AS135089"
240e:983:f00::/48,"Blocked AS58539"
240e:983:f03::/48,"Blocked AS140903"
240e:983:f06::/48,"Blocked AS141771"
240e:983:170f::/48,"Blocked AS148969"
